No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,Karbo_Clean,Keyword_Semantik,enhanced_corpus_mccbf,corpus_rf
78,sapi tofu teriyaki,sapi,400,jagung nasi merah nasi putih,daging sapi dan tahu saus teriyaki sayur kukus,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein sapi teriyaki,"sapi tofu teriyaki daging sapi dan tahu saus teriyaki sayur kukus jagung, nasi merah, nasi putih protein sapi teriyaki",sapi tofu teriyaki daging sapi dan tahu saus teriyaki sayur kukus
79,dori oat saus asam manis,ikan,395,jagung nasi merah nasi putih,ikan dori balut oat saus asam manis tumis sayur,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan manis,"dori oat saus asam manis ikan dori balut oat saus asam manis tumis sayur jagung, nasi merah, nasi putih protein ikan manis",dori oat saus asam manis ikan dori balut oat saus asam manis tumis sayur
80,ayam bakar padang,ayam,395,kentang ubi nasi merah nasi putih,ayam bakar bumbu padang tanpa santan lauk tempe,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam panggang,"ayam bakar padang ayam bakar bumbu padang tanpa santan lauk tempe kentang, nasi merah, nasi putih, ubi protein ayam panggang",ayam bakar padang ayam bakar bumbu padang tanpa santan lauk tempe
81,ayam maranggi,ayam,400,kentang nasi merah nasi putih,ayam bumbu maranggi tumis sayur lauk telur,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam maranggi ayam bumbu maranggi tumis sayur lauk telur kentang, nasi merah, nasi putih protein ayam",ayam maranggi ayam bumbu maranggi tumis sayur lauk telur
82,bola daging saus lada hitam,sapi,395,jagung nasi merah nasi putih,bola daging sapi saus lada hitam disajikan salad,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein sapi blackpepper,"bola daging saus lada hitam bola daging sapi saus lada hitam disajikan salad jagung, nasi merah, nasi putih protein sapi blackpepper",bola daging saus lada hitam bola daging sapi saus lada hitam disajikan salad
83,ayam balado,ayam,390,jagung nasi merah nasi putih,ayam bumbu balado tumis sayur bayam wortel labu,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam balado ayam bumbu balado tumis sayur bayam wortel labu jagung, nasi merah, nasi putih protein ayam",ayam balado ayam bumbu balado tumis sayur bayam wortel labu
84,ikan stik saus wijen,ikan,395,ubi kentang nasi merah nasi putih,stik ikan saus wijen sayur kukus hidangan penutup,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ikan,"ikan stik saus wijen stik ikan saus wijen sayur kukus hidangan penutup kentang, nasi merah, nasi putih, ubi protein ikan",ikan stik saus wijen stik ikan saus wijen sayur kukus hidangan penutup
85,soto bandung,ayam,390,kentang nasi merah nasi putih,soto daging kuah bening lobak lauk telur rebus,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",,"soto bandung soto daging kuah bening lobak lauk telur rebus kentang, nasi merah, nasi putih",soto bandung soto daging kuah bening lobak lauk telur rebus
86,ayam katsu,ayam,390,jagung ubi nasi merah nasi putih,katsu ayam panggang rendah minyak disajikan salad,"['jagung', 'nasi merah', 'nasi putih', 'ubi']","jagung, nasi merah, nasi putih, ubi",protein ayam,"ayam katsu katsu ayam panggang rendah minyak disajikan salad jagung, nasi merah, nasi putih, ubi protein ayam",ayam katsu katsu ayam panggang rendah minyak disajikan salad
87,ayam serundeng,ayam,400,jagung nasi merah nasi putih,ayam tabur serundeng tumis sayur lauk tahu tempe,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam serundeng ayam tabur serundeng tumis sayur lauk tahu tempe jagung, nasi merah, nasi putih protein ayam",ayam serundeng ayam tabur serundeng tumis sayur lauk tahu tempe
88,ayam teriyaki panggang,ayam,400,kentang nasi merah nasi putih,ayam panggang teriyaki lauk telur orak arik,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam panggang teriyaki,"ayam teriyaki panggang ayam panggang teriyaki lauk telur orak arik kentang, nasi merah, nasi putih protein ayam panggang teriyaki",ayam teriyaki panggang ayam panggang teriyaki lauk telur orak arik
89,ikan acar kuning,ikan,395,kentang nasi merah nasi putih,ikan bumbu acar kuning segar lauk perkedel tahu,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ikan,"ikan acar kuning ikan bumbu acar kuning segar lauk perkedel tahu kentang, nasi merah, nasi putih protein ikan",ikan acar kuning ikan bumbu acar kuning segar lauk perkedel tahu
90,ayam bakar bacem,ayam,395,jagung ubi nasi merah nasi putih,ayam bakar bumbu bacem manis gurih lauk tempe,"['jagung', 'nasi merah', 'nasi putih', 'ubi']","jagung, nasi merah, nasi putih, ubi",protein ayam panggang,"ayam bakar bacem ayam bakar bumbu bacem manis gurih lauk tempe jagung, nasi merah, nasi putih, ubi protein ayam panggang",ayam bakar bacem ayam bakar bumbu bacem manis gurih lauk tempe
91,ayam cabe ijo,ayam,400,jagung nasi merah nasi putih,ayam bumbu cabe ijo tumis bayam lauk telur,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam cabe ijo ayam bumbu cabe ijo tumis bayam lauk telur jagung, nasi merah, nasi putih protein ayam",ayam cabe ijo ayam bumbu cabe ijo tumis bayam lauk telur
92,sapi bulgogi,sapi,395,kentang nasi merah nasi putih,daging sapi bumbu bulgogi korea lauk tahu,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein sapi,"sapi bulgogi daging sapi bumbu bulgogi korea lauk tahu kentang, nasi merah, nasi putih protein sapi",sapi bulgogi daging sapi bumbu bulgogi korea lauk tahu
93,ayam sambel geprek,ayam,395,kentang nasi merah nasi putih,ayam geprek sambal pedas disajikan sayur sop,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"ayam sambel geprek ayam geprek sambal pedas disajikan sayur sop kentang, nasi merah, nasi putih protein ayam",ayam sambel geprek ayam geprek sambal pedas disajikan sayur sop
94,pasta aglio eolio dori stik,ikan,395,pasta,pasta aglio eolio stik dori hidangan penutup,[],,protein ikan,pasta aglio eolio dori stik pasta aglio eolio stik dori hidangan penutup  protein ikan,pasta aglio eolio dori stik pasta aglio eolio stik dori hidangan penutup
95,bistik bola sapi,sapi,395,kentang nasi merah nasi putih,bola daging bistik saus gurih tumis sayur tahu,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein sapi,"bistik bola sapi bola daging bistik saus gurih tumis sayur tahu kentang, nasi merah, nasi putih protein sapi",bistik bola sapi bola daging bistik saus gurih tumis sayur tahu
96,scotch telur,vegetarian,390,jagung ubi nasi merah nasi putih,telur balut daging disajikan dengan salad sayur,"['jagung', 'nasi merah', 'nasi putih', 'ubi']","jagung, nasi merah, nasi putih, ubi",,"scotch telur telur balut daging disajikan dengan salad sayur jagung, nasi merah, nasi putih, ubi",scotch telur telur balut daging disajikan dengan salad sayur
97,sapi yakiniku,sapi,400,kentang nasi merah nasi putih,daging sapi yakiniku tumis sayur lauk tahu,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein sapi,"sapi yakiniku daging sapi yakiniku tumis sayur lauk tahu kentang, nasi merah, nasi putih protein sapi",sapi yakiniku daging sapi yakiniku tumis sayur lauk tahu
98,cah ayam buncis,ayam,395,jagung nasi merah nasi putih,tumis buncis ayam cincang lauk telur mata sapi,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"cah ayam buncis tumis buncis ayam cincang lauk telur mata sapi jagung, nasi merah, nasi putih protein ayam",cah ayam buncis tumis buncis ayam cincang lauk telur mata sapi
99,ikan katsu saus manis pedas,ikan,400,jagung nasi merah nasi putih,katsu ikan saus manis pedas tumis sayuran,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan pedas manis,"ikan katsu saus manis pedas katsu ikan saus manis pedas tumis sayuran jagung, nasi merah, nasi putih protein ikan pedas manis",ikan katsu saus manis pedas katsu ikan saus manis pedas tumis sayuran
100,tumis ayam paprika,ayam,400,kentang nasi merah nasi putih,ayam tumis paprika lauk tahu kukus sayur kukus,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"tumis ayam paprika ayam tumis paprika lauk tahu kukus sayur kukus kentang, nasi merah, nasi putih protein ayam",tumis ayam paprika ayam tumis paprika lauk tahu kukus sayur kukus
101,rendang ayam,ayam,400,kentang nasi merah nasi putih,rendang ayam tanpa santan tumis sayur lauk tempe,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"rendang ayam rendang ayam tanpa santan tumis sayur lauk tempe kentang, nasi merah, nasi putih protein ayam",rendang ayam rendang ayam tanpa santan tumis sayur lauk tempe
102,brokoli sapi lada hitam,sapi,400,jagung ubi nasi merah nasi putih,tumis brokoli sapi lada hitam sayuran kukus,"['jagung', 'nasi merah', 'nasi putih', 'ubi']","jagung, nasi merah, nasi putih, ubi",protein sapi blackpepper,"brokoli sapi lada hitam tumis brokoli sapi lada hitam sayuran kukus jagung, nasi merah, nasi putih, ubi protein sapi blackpepper",brokoli sapi lada hitam tumis brokoli sapi lada hitam sayuran kukus
103,opor ayam tanpa santan,ayam,400,kentang nasi merah nasi putih,opor ayam kuah bening tanpa santan lauk telur,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"opor ayam tanpa santan opor ayam kuah bening tanpa santan lauk telur kentang, nasi merah, nasi putih protein ayam",opor ayam tanpa santan opor ayam kuah bening tanpa santan lauk telur
104,panggang ayam madu,ayam,395,jagung ubi nasi merah nasi putih,ayam panggang madu sayur kukus lauk tahu,"['jagung', 'nasi merah', 'nasi putih', 'ubi']","jagung, nasi merah, nasi putih, ubi",protein ayam panggang,"panggang ayam madu ayam panggang madu sayur kukus lauk tahu jagung, nasi merah, nasi putih, ubi protein ayam panggang",panggang ayam madu ayam panggang madu sayur kukus lauk tahu
105,ikan woku,ikan,400,kentang nasi merah nasi putih,ikan bumbu woku pedas kemangi lauk telur orak arik,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ikan,"ikan woku ikan bumbu woku pedas kemangi lauk telur orak arik kentang, nasi merah, nasi putih protein ikan",ikan woku ikan bumbu woku pedas kemangi lauk telur orak arik
106,kebab ayam,ayam,395,jagung ubi nasi merah nasi putih,daging kebab ayam disajikan dengan salad sayur,"['jagung', 'nasi merah', 'nasi putih', 'ubi']","jagung, nasi merah, nasi putih, ubi",protein ayam,"kebab ayam daging kebab ayam disajikan dengan salad sayur jagung, nasi merah, nasi putih, ubi protein ayam",kebab ayam daging kebab ayam disajikan dengan salad sayur
107,ayam lada hitam,ayam,400,jagung nasi merah nasi putih,ayam lada hitam sayur tepanyaki telur orak arik,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam blackpepper,"ayam lada hitam ayam lada hitam sayur tepanyaki telur orak arik jagung, nasi merah, nasi putih protein ayam blackpepper",ayam lada hitam ayam lada hitam sayur tepanyaki telur orak arik
108,cah buncis sapi cincang,sapi,395,kentang nasi merah nasi putih,tumis buncis sapi cincang lauk tahu,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein sapi,"cah buncis sapi cincang tumis buncis sapi cincang lauk tahu kentang, nasi merah, nasi putih protein sapi",cah buncis sapi cincang tumis buncis sapi cincang lauk tahu
109,sapi cabe garam,sapi,400,kentang nasi merah nasi putih,daging sapi tumis cabe garam pedas gurih tumis sayur,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein sapi,"sapi cabe garam daging sapi tumis cabe garam pedas gurih tumis sayur kentang, nasi merah, nasi putih protein sapi",sapi cabe garam daging sapi tumis cabe garam pedas gurih tumis sayur
110,mie ayam sehat spesial,ayam,395,mie,mie ayam sehat sayuran kukus lauk tahu,[],,protein ayam,mie ayam sehat spesial mie ayam sehat sayuran kukus lauk tahu  protein ayam,mie ayam sehat spesial mie ayam sehat sayuran kukus lauk tahu
111,ayam rolade,ayam,395,jagung nasi merah nasi putih,rolade ayam kukus disajikan dengan sop bening,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"ayam rolade rolade ayam kukus disajikan dengan sop bening jagung, nasi merah, nasi putih protein ayam",ayam rolade rolade ayam kukus disajikan dengan sop bening
112,dori sambal matah,ikan,390,kentang ubi nasi merah nasi putih,ikan dori sambal matah segar sayuran kukus,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ikan,"dori sambal matah ikan dori sambal matah segar sayuran kukus kentang, nasi merah, nasi putih, ubi protein ikan",dori sambal matah ikan dori sambal matah segar sayuran kukus
113,gulai ikan,ikan,400,kentang nasi merah nasi putih,gulai ikan tanpa santan sayur kukus lauk tempe,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ikan,"gulai ikan gulai ikan tanpa santan sayur kukus lauk tempe kentang, nasi merah, nasi putih protein ikan",gulai ikan gulai ikan tanpa santan sayur kukus lauk tempe
114,ayam bola krispi,ayam,395,jagung ubi nasi merah nasi putih,bola ayam renyah disajikan dengan salad sayur,"['jagung', 'nasi merah', 'nasi putih', 'ubi']","jagung, nasi merah, nasi putih, ubi",protein ayam,"ayam bola krispi bola ayam renyah disajikan dengan salad sayur jagung, nasi merah, nasi putih, ubi protein ayam",ayam bola krispi bola ayam renyah disajikan dengan salad sayur
115,soto bandung,ayam,395,kentang nasi merah nasi putih,soto daging kuah bening lobak lauk telur rebus,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",,"soto bandung soto daging kuah bening lobak lauk telur rebus kentang, nasi merah, nasi putih",soto bandung soto daging kuah bening lobak lauk telur rebus
116,sempol ayam panggang,ayam,390,jagung ubi nasi merah nasi putih,sempol ayam panggang rendah minyak sayur kukus,"['jagung', 'nasi merah', 'nasi putih', 'ubi']","jagung, nasi merah, nasi putih, ubi",protein ayam panggang,"sempol ayam panggang sempol ayam panggang rendah minyak sayur kukus jagung, nasi merah, nasi putih, ubi protein ayam panggang",sempol ayam panggang sempol ayam panggang rendah minyak sayur kukus
117,sapi cabe garam,sapi,400,kentang nasi merah nasi putih,daging sapi tumis cabe garam lauk tahu tumis sayur,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein sapi,"sapi cabe garam daging sapi tumis cabe garam lauk tahu tumis sayur kentang, nasi merah, nasi putih protein sapi",sapi cabe garam daging sapi tumis cabe garam lauk tahu tumis sayur
118,tumis ayam brokoli,ayam,390,jagung nasi merah nasi putih,tumis ayam dan brokoli menu sehat klasik,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ayam,"tumis ayam brokoli tumis ayam dan brokoli menu sehat klasik jagung, nasi merah, nasi putih protein ayam",tumis ayam brokoli tumis ayam dan brokoli menu sehat klasik
119,soto ayam kuning,ayam,400,kentang nasi merah nasi putih,soto ayam bumbu kuning tanpa santan lauk telur,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",protein ayam,"soto ayam kuning soto ayam bumbu kuning tanpa santan lauk telur kentang, nasi merah, nasi putih protein ayam",soto ayam kuning soto ayam bumbu kuning tanpa santan lauk telur
120,dori oat saus wijen,ikan,400,jagung ubi nasi merah nasi putih,ikan dori balut oat saus wijen gurih sayur kukus,"['jagung', 'nasi merah', 'nasi putih', 'ubi']","jagung, nasi merah, nasi putih, ubi",protein ikan,"dori oat saus wijen ikan dori balut oat saus wijen gurih sayur kukus jagung, nasi merah, nasi putih, ubi protein ikan",dori oat saus wijen ikan dori balut oat saus wijen gurih sayur kukus
121,ikan cabe ijo,ikan,400,jagung nasi merah nasi putih,ikan bumbu cabe ijo tumis sayur lauk tahu,"['jagung', 'nasi merah', 'nasi putih']","jagung, nasi merah, nasi putih",protein ikan,"ikan cabe ijo ikan bumbu cabe ijo tumis sayur lauk tahu jagung, nasi merah, nasi putih protein ikan",ikan cabe ijo ikan bumbu cabe ijo tumis sayur lauk tahu
122,ayam bakar padang,ayam,400,kentang ubi nasi merah nasi putih,ayam bakar bumbu padang tanpa santan lauk tempe,"['kentang', 'nasi merah', 'nasi putih', 'ubi']","kentang, nasi merah, nasi putih, ubi",protein ayam panggang,"ayam bakar padang ayam bakar bumbu padang tanpa santan lauk tempe kentang, nasi merah, nasi putih, ubi protein ayam panggang",ayam bakar padang ayam bakar bumbu padang tanpa santan lauk tempe
123,rawon surabaya,sapi,400,kentang nasi merah nasi putih,daging rawon kuah rempah sayur kukus lauk telur,"['kentang', 'nasi merah', 'nasi putih']","kentang, nasi merah, nasi putih",,"rawon surabaya daging rawon kuah rempah sayur kukus lauk telur kentang, nasi merah, nasi putih",rawon surabaya daging rawon kuah rempah sayur kukus lauk telur
124,ayam bola krispi,ayam,395,jagung ubi nasi merah nasi putih,bola ayam renyah disajikan dengan salad segar,"['jagung', 'nasi merah', 'nasi putih', 'ubi']","jagung, nasi merah, nasi putih, ubi",protein ayam,"ayam bola krispi bola ayam renyah disajikan dengan salad segar jagung, nasi merah, nasi putih, ubi protein ayam",ayam bola krispi bola ayam renyah disajikan dengan salad segar
