No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean,Nama_Lower,Deskripsi_Lower,Keyword_Semantik,enhanced_corpus,enhanced_corpus_mccbf,corpus_rf
46,Telur Tortila Panggang Ayam Madu,ayam,397,jagung,tortila telur ayam panggang saus madu jagung rebus,['jagung'],egg tortila baked chicken honey ayam jagung tortila telur ayam panggang saus madu jagung rebus,jagung,telur tortila panggang ayam madu,tortila telur ayam panggang saus madu jagung rebus,protein_ayam panggang,telur tortila panggang ayam madu ayam jagung tortila telur ayam panggang saus madu jagung rebus protein_ayam,telur tortila panggang ayam madu tortila telur ayam panggang saus madu jagung rebus jagung protein_ayam panggang,telur tortila panggang ayam madu tortila telur ayam panggang saus madu jagung rebus
47,Soto Betawi,ayam,400,kentang nasi merah nasi putih,soto betawi kuah bening tanpa santan kaya rempah,"['nasi', 'putih', 'kentang', 'merah']",soto betawi sapi kentang nasi merah nasi putih soto betawi kuah bening tanpa santan kaya rempah,"kentang, nasi merah, nasi putih",soto betawi,soto betawi kuah bening tanpa santan kaya rempah,,soto betawi ayam merah putih kentang nasi soto betawi kuah bening tanpa santan kaya rempah ,soto betawi soto betawi kuah bening tanpa santan kaya rempah nasi putih kentang merah ,soto betawi soto betawi kuah bening tanpa santan kaya rempah
48,Ayam Saus Mentega,ayam,400,jagung nasi merah nasi putih,ayam tumis saus mentega lauk tahu kukus,"['nasi', 'putih', 'jagung', 'merah']",ayam saus mentega ayam jagung nasi merah nasi putih ayam tumis saus mentega lauk tahu kukus,"jagung, nasi merah, nasi putih",ayam saus mentega,ayam tumis saus mentega lauk tahu kukus,protein_ayam,ayam saus mentega ayam jagung putih nasi merah ayam tumis saus mentega lauk tahu kukus protein_ayam,ayam saus mentega ayam tumis saus mentega lauk tahu kukus nasi putih jagung merah protein_ayam,ayam saus mentega ayam tumis saus mentega lauk tahu kukus
49,Ayam Serundeng,ayam,395,jagung nasi merah nasi putih,ayam tabur serundeng kelapa gurih tumis sayur,"['nasi', 'putih', 'jagung', 'merah']",ayam serundeng ayam jagung nasi merah nasi putih ayam tabur serundeng kelapa gurih tumis sayur,"jagung, nasi merah, nasi putih",ayam serundeng,ayam tabur serundeng kelapa gurih tumis sayur,protein_ayam,ayam serundeng ayam jagung putih nasi merah ayam tabur serundeng kelapa gurih tumis sayur protein_ayam,ayam serundeng ayam tabur serundeng kelapa gurih tumis sayur nasi putih jagung merah protein_ayam,ayam serundeng ayam tabur serundeng kelapa gurih tumis sayur
50,Pangsit Ayam Yamin Yahun,ayam,395,mie,pangsit ayam rebus mie yamin yahun sehat,['mie'],pangsit ayam yamin yahun ayam mie pangsit ayam rebus mie yamin yahun sehat,mie,pangsit ayam yamin yahun,pangsit ayam rebus mie yamin yahun sehat,protein_ayam,pangsit ayam yamin yahun ayam mie pangsit ayam rebus mie yamin yahun sehat protein_ayam,pangsit ayam yamin yahun pangsit ayam rebus mie yamin yahun sehat mie protein_ayam,pangsit ayam yamin yahun pangsit ayam rebus mie yamin yahun sehat
51,Krim Ayam Jamur,ayam,395,kentang nasi merah nasi putih,ayam jamur saus krim rendah lemak lauk telur,"['nasi', 'putih', 'kentang', 'merah']",creamy chicken mushroom ayam kentang nasi merah nasi putih ayam jamur saus krim rendah lemak lauk telur,"kentang, nasi merah, nasi putih",krim ayam jamur,ayam jamur saus krim rendah lemak lauk telur,protein_ayam,krim ayam jamur ayam merah putih kentang nasi ayam jamur saus krim rendah lemak lauk telur protein_ayam,krim ayam jamur ayam jamur saus krim rendah lemak lauk telur nasi putih kentang merah protein_ayam,krim ayam jamur ayam jamur saus krim rendah lemak lauk telur
52,Buncis Sapi Lada Hitam,sapi,395,ubi jagung nasi merah nasi putih,tumis buncis dan sapi cincang saus lada hitam,"['nasi', 'merah', 'ubi', 'putih', 'jagung']",buncis sapi lada hitam sapi ubi jagung nasi merah nasi putih tumis buncis dan sapi cincang saus lada hitam,"ubi, jagung, nasi merah, nasi putih",buncis sapi lada hitam,tumis buncis dan sapi cincang saus lada hitam,protein_sapi blackpepper,buncis sapi lada hitam sapi jagung putih nasi ubi merah tumis buncis dan sapi cincang saus lada hitam protein_sapi ladahitam,buncis sapi lada hitam tumis buncis dan sapi cincang saus lada hitam nasi merah ubi putih jagung protein_sapi blackpepper,buncis sapi lada hitam tumis buncis dan sapi cincang saus lada hitam
53,Ayam Bakar,ayam,390,jagung nasi merah nasi putih,ayam bakar bumbu kecap tumis sayur lauk tempe,"['nasi', 'putih', 'jagung', 'merah']",ayam bakar ayam jagung nasi merah nasi putih ayam bakar bumbu kecap tumis sayur lauk tempe,"jagung, nasi merah, nasi putih",ayam bakar,ayam bakar bumbu kecap tumis sayur lauk tempe,protein_ayam panggang,ayam bakar ayam jagung putih nasi merah ayam bakar bumbu kecap tumis sayur lauk tempe protein_ayam panggang,ayam bakar ayam bakar bumbu kecap tumis sayur lauk tempe nasi putih jagung merah protein_ayam panggang,ayam bakar ayam bakar bumbu kecap tumis sayur lauk tempe
54,Dori Telur Asin,ikan,390,kentang ubi nasi merah nasi putih,ikan dori saus telur asin gurih sayuran kukus,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",dori salted egg ikan kentang ubi nasi merah nasi putih ikan dori saus telur asin gurih sayuran kukus,"kentang, ubi, nasi merah, nasi putih",dori telur asin,ikan dori saus telur asin gurih sayuran kukus,protein_ikan,dori telur asin ikan kentang putih nasi ubi merah ikan dori saus telur asin gurih sayuran kukus protein_ikan,dori telur asin ikan dori saus telur asin gurih sayuran kukus nasi merah ubi putih kentang protein_ikan,dori telur asin ikan dori saus telur asin gurih sayuran kukus
55,Dori Sambal Ijo,ikan,395,kentang nasi merah nasi putih,ikan dori bumbu sambal ijo disajikan sop lauk tahu,"['nasi', 'putih', 'kentang', 'merah']",dori sambal ijo ikan kentang nasi merah nasi putih ikan dori bumbu sambal ijo disajikan sop lauk tahu,"kentang, nasi merah, nasi putih",dori sambal ijo,ikan dori bumbu sambal ijo disajikan sop lauk tahu,protein_ikan,dori sambal ijo ikan merah putih kentang nasi ikan dori bumbu sambal ijo disajikan sop lauk tahu protein_ikan,dori sambal ijo ikan dori bumbu sambal ijo disajikan sop lauk tahu nasi putih kentang merah protein_ikan,dori sambal ijo ikan dori bumbu sambal ijo disajikan sop lauk tahu
56,Ayam Patty Krispi,ayam,390,jagung nasi merah nasi putih,patty ayam renyah disajikan dengan salad sayur,"['nasi', 'putih', 'jagung', 'merah']",chicken patty crispy ayam jagung nasi merah nasi putih patty ayam renyah disajikan dengan salad sayur,"jagung, nasi merah, nasi putih",ayam patty krispi,patty ayam renyah disajikan dengan salad sayur,protein_ayam,ayam patty krispi ayam jagung putih nasi merah patty ayam renyah disajikan dengan salad sayur protein_ayam,ayam patty krispi patty ayam renyah disajikan dengan salad sayur nasi putih jagung merah protein_ayam,ayam patty krispi patty ayam renyah disajikan dengan salad sayur
57,Ayam Tomyum,ayam,395,kentang nasi merah nasi putih,ayam kuah tomyum asam pedas segar lauk telur rebus,"['nasi', 'putih', 'kentang', 'merah']",chicken tomyum ayam kentang nasi merah nasi putih ayam kuah tomyum asam pedas segar lauk telur rebus,"kentang, nasi merah, nasi putih",ayam tomyum,ayam kuah tomyum asam pedas segar lauk telur rebus,protein_ayam,ayam tomyum ayam merah putih kentang nasi ayam kuah tomyum asam pedas segar lauk telur rebus protein_ayam,ayam tomyum ayam kuah tomyum asam pedas segar lauk telur rebus nasi putih kentang merah protein_ayam,ayam tomyum ayam kuah tomyum asam pedas segar lauk telur rebus
58,Ayam Barbeque Panggang,ayam,390,jagung nasi merah nasi putih,ayam panggang saus barbeque sayuran kukus,"['nasi', 'putih', 'jagung', 'merah']",chicken bbq grill ayam jagung nasi merah nasi putih ayam panggang saus barbeque sayuran kukus,"jagung, nasi merah, nasi putih",ayam barbeque panggang,ayam panggang saus barbeque sayuran kukus,protein_ayam panggang,ayam barbeque panggang ayam jagung putih nasi merah ayam panggang saus barbeque sayuran kukus protein_ayam,ayam barbeque panggang ayam panggang saus barbeque sayuran kukus nasi putih jagung merah protein_ayam panggang,ayam barbeque panggang ayam panggang saus barbeque sayuran kukus
59,Dori Sambal Matah,ikan,395,jagung nasi merah nasi putih,ikan dori sambal matah segar lauk telur orak arik,"['nasi', 'putih', 'jagung', 'merah']",dori sambal matah ikan jagung nasi merah nasi putih ikan dori sambal matah segar lauk telur orak arik,"jagung, nasi merah, nasi putih",dori sambal matah,ikan dori sambal matah segar lauk telur orak arik,protein_ikan,dori sambal matah ikan jagung putih nasi merah ikan dori sambal matah segar lauk telur orak arik protein_ikan,dori sambal matah ikan dori sambal matah segar lauk telur orak arik nasi putih jagung merah protein_ikan,dori sambal matah ikan dori sambal matah segar lauk telur orak arik
60,Longbun Dengan Ayam Lada Hitam,ayam,400,roti gandum,roti gandum ayam lada hitam disajikan dengan salad,"['gandum', 'roti']",longbun dengan ayam lada hitam ayam roti gandum roti gandum ayam lada hitam disajikan dengan salad,roti gandum,longbun dengan ayam lada hitam,roti gandum ayam lada hitam disajikan dengan salad,protein_ayam blackpepper,longbun dengan ayam lada hitam ayam gandum roti roti gandum ayam lada hitam disajikan dengan salad protein_ayam ladahitam,longbun dengan ayam lada hitam roti gandum ayam lada hitam disajikan dengan salad gandum roti protein_ayam blackpepper,longbun dengan ayam lada hitam roti gandum ayam lada hitam disajikan dengan salad
61,Soto Ayam Spesial,ayam,395,bihun kentang nasi merah nasi putih,soto ayam kuah kuning lauk lengkap tanpa santan,"['nasi', 'merah', 'bihun', 'putih', 'kentang']",soto ayam spesial ayam bihun kentang nasi merah nasi putih soto ayam kuah kuning lauk lengkap tanpa santan,"bihun, kentang, nasi merah, nasi putih",soto ayam spesial,soto ayam kuah kuning lauk lengkap tanpa santan,protein_ayam,soto ayam spesial ayam kentang bihun putih nasi merah soto ayam kuah kuning lauk lengkap tanpa santan protein_ayam,soto ayam spesial soto ayam kuah kuning lauk lengkap tanpa santan nasi merah bihun putih kentang protein_ayam,soto ayam spesial soto ayam kuah kuning lauk lengkap tanpa santan
62,Bistik Sapi,sapi,395,jagung nasi merah nasi putih,bistik daging sapi empuk saus gurih sayur kukus,"['nasi', 'putih', 'jagung', 'merah']",bistik sapi sapi jagung nasi merah nasi putih bistik daging sapi empuk saus gurih sayur kukus,"jagung, nasi merah, nasi putih",bistik sapi,bistik daging sapi empuk saus gurih sayur kukus,protein_sapi,bistik sapi sapi jagung putih nasi merah bistik daging sapi empuk saus gurih sayur kukus protein_sapi,bistik sapi bistik daging sapi empuk saus gurih sayur kukus nasi putih jagung merah protein_sapi,bistik sapi bistik daging sapi empuk saus gurih sayur kukus
63,Sapi Cabe Garam,sapi,390,jagung nasi merah nasi putih,daging sapi tumis cabe garam pedas gurih lauk tempe,"['nasi', 'putih', 'jagung', 'merah']",sapi cabe garam sapi jagung nasi merah nasi putih daging sapi tumis cabe garam pedas gurih lauk tempe,"jagung, nasi merah, nasi putih",sapi cabe garam,daging sapi tumis cabe garam pedas gurih lauk tempe,protein_sapi,sapi cabe garam sapi jagung putih nasi merah daging sapi tumis cabe garam pedas gurih lauk tempe protein_sapi,sapi cabe garam daging sapi tumis cabe garam pedas gurih lauk tempe nasi putih jagung merah protein_sapi,sapi cabe garam daging sapi tumis cabe garam pedas gurih lauk tempe
64,Bola Ayam Sambal Taichan,ayam,395,kentang ubi nasi merah nasi putih,bola ayam bakar sambal taichan pedas asam,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",bola ayam sambal taichan ayam kentang ubi nasi merah nasi putih bola ayam bakar sambal taichan pedas asam,"kentang, ubi, nasi merah, nasi putih",bola ayam sambal taichan,bola ayam bakar sambal taichan pedas asam,protein_ayam,bola ayam sambal taichan ayam kentang putih nasi ubi merah bola ayam bakar sambal taichan pedas asam protein_ayam,bola ayam sambal taichan bola ayam bakar sambal taichan pedas asam nasi merah ubi putih kentang protein_ayam,bola ayam sambal taichan bola ayam bakar sambal taichan pedas asam
65,Ayam Rolade,ayam,395,kentang nasi merah nasi putih,rolade ayam kukus disajikan tumis sayuran,"['nasi', 'putih', 'kentang', 'merah']",chicken rolade ayam kentang nasi merah nasi putih rolade ayam kukus disajikan tumis sayuran,"kentang, nasi merah, nasi putih",ayam rolade,rolade ayam kukus disajikan tumis sayuran,protein_ayam,ayam rolade ayam merah putih kentang nasi rolade ayam kukus disajikan tumis sayuran protein_ayam,ayam rolade rolade ayam kukus disajikan tumis sayuran nasi putih kentang merah protein_ayam,ayam rolade rolade ayam kukus disajikan tumis sayuran
66,Dori Katsu Saus Asam Manis,ikan,390,jagung nasi merah nasi putih,katsu ikan dori saus asam manis lauk sayur sop,"['nasi', 'putih', 'jagung', 'merah']",dori katsu saus asam manis ikan jagung nasi merah nasi putih katsu ikan dori saus asam manis lauk sayur sop,"jagung, nasi merah, nasi putih",dori katsu saus asam manis,katsu ikan dori saus asam manis lauk sayur sop,protein_ikan manis,dori katsu saus asam manis ikan jagung putih nasi merah katsu ikan dori saus asam manis lauk sayur sop protein_ikan manis,dori katsu saus asam manis katsu ikan dori saus asam manis lauk sayur sop nasi putih jagung merah protein_ikan manis,dori katsu saus asam manis katsu ikan dori saus asam manis lauk sayur sop
67,Panggang Ayam Madu,ayam,390,kentang nasi merah nasi putih,ayam panggang madu bumbu meresap tumis sayur,"['nasi', 'putih', 'kentang', 'merah']",baked chicken honey ayam kentang nasi merah nasi putih ayam panggang madu bumbu meresap tumis sayur,"kentang, nasi merah, nasi putih",panggang ayam madu,ayam panggang madu bumbu meresap tumis sayur,protein_ayam panggang,panggang ayam madu ayam merah putih kentang nasi ayam panggang madu bumbu meresap tumis sayur protein_ayam,panggang ayam madu ayam panggang madu bumbu meresap tumis sayur nasi putih kentang merah protein_ayam panggang,panggang ayam madu ayam panggang madu bumbu meresap tumis sayur
68,Dori Stik,ikan,400,pasta,stik ikan dori pasta aglio eolio sayuran kukus,['pasta'],dori stik ikan pasta stik ikan dori pasta aglio eolio sayuran kukus,pasta,dori stik,stik ikan dori pasta aglio eolio sayuran kukus,protein_ikan,dori stik ikan pasta stik ikan dori pasta aglio eolio sayuran kukus protein_ikan,dori stik stik ikan dori pasta aglio eolio sayuran kukus pasta protein_ikan,dori stik stik ikan dori pasta aglio eolio sayuran kukus
69,Rawon Surabaya Sapi Ayam,ayam,395,kentang nasi merah nasi putih,rawon kuah rempah pilihan sapi atau ayam,"['nasi', 'putih', 'kentang', 'merah']",rawon surabaya sapi ayam lainnya kentang nasi merah nasi putih rawon kuah rempah pilihan sapi atau ayam,"kentang, nasi merah, nasi putih",rawon surabaya sapi ayam,rawon kuah rempah pilihan sapi atau ayam,protein_ayam protein_sapi,rawon surabaya sapi ayam ayam merah putih kentang nasi rawon kuah rempah pilihan sapi atau ayam protein_ayam protein_sapi,rawon surabaya sapi ayam rawon kuah rempah pilihan sapi atau ayam nasi putih kentang merah protein_ayam protein_sapi,rawon surabaya sapi ayam rawon kuah rempah pilihan sapi atau ayam
70,Ayam Bola Lada Hitam,ayam,395,jagung nasi merah nasi putih,bola ayam saus lada hitam lauk tahu kukus,"['nasi', 'putih', 'jagung', 'merah']",chicken ball blackpepper ayam jagung nasi merah nasi putih bola ayam saus lada hitam lauk tahu kukus,"jagung, nasi merah, nasi putih",ayam bola lada hitam,bola ayam saus lada hitam lauk tahu kukus,protein_ayam blackpepper,ayam bola lada hitam ayam jagung putih nasi merah bola ayam saus lada hitam lauk tahu kukus protein_ayam ladahitam,ayam bola lada hitam bola ayam saus lada hitam lauk tahu kukus nasi putih jagung merah protein_ayam blackpepper,ayam bola lada hitam bola ayam saus lada hitam lauk tahu kukus
71,Ayam Maranggi,ayam,400,jagung nasi merah nasi putih,ayam bumbu maranggi tumis sayur lauk tempe,"['nasi', 'putih', 'jagung', 'merah']",ayam maranggi ayam jagung nasi merah nasi putih ayam bumbu maranggi tumis sayur lauk tempe,"jagung, nasi merah, nasi putih",ayam maranggi,ayam bumbu maranggi tumis sayur lauk tempe,protein_ayam,ayam maranggi ayam jagung putih nasi merah ayam bumbu maranggi tumis sayur lauk tempe protein_ayam,ayam maranggi ayam bumbu maranggi tumis sayur lauk tempe nasi putih jagung merah protein_ayam,ayam maranggi ayam bumbu maranggi tumis sayur lauk tempe
72,Sapi Patty Kastu,sapi,395,kentang ubi nasi merah nasi putih,patty sapi panggang saus kastu sayuran kukus,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",beef patty kastu sapi kentang ubi nasi merah nasi putih patty sapi panggang saus kastu sayuran kukus,"kentang, ubi, nasi merah, nasi putih",sapi patty kastu,patty sapi panggang saus kastu sayuran kukus,protein_sapi,sapi patty kastu sapi kentang putih nasi ubi merah patty sapi panggang saus kastu sayuran kukus protein_sapi,sapi patty kastu patty sapi panggang saus kastu sayuran kukus nasi merah ubi putih kentang protein_sapi,sapi patty kastu patty sapi panggang saus kastu sayuran kukus
73,Dori Cabai Garam,ikan,395,jagung nasi merah nasi putih,ikan dori tumis cabai garam pedas gurih,"['nasi', 'putih', 'jagung', 'merah']",dori cabai garam ikan jagung nasi merah nasi putih ikan dori tumis cabai garam pedas gurih,"jagung, nasi merah, nasi putih",dori cabai garam,ikan dori tumis cabai garam pedas gurih,protein_ikan,dori cabai garam ikan jagung putih nasi merah ikan dori tumis cabai garam pedas gurih protein_ikan,dori cabai garam ikan dori tumis cabai garam pedas gurih nasi putih jagung merah protein_ikan,dori cabai garam ikan dori tumis cabai garam pedas gurih
