No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean
382,ayam asam manis healthy yellowfit,ayam,530,garlic rice,menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],ayam asam manis healthy yellowfit ayam garlic rice menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
383,khao soi noodle supreme,lainnya,532,nasi kuning,menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi kuning'],khao soi noodle supreme lainnya nasi kuning menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning
384,beef short ribs rendang signature,sapi,518,nasi merah,menu beef short ribs rendang signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],beef short ribs rendang signature sapi nasi merah menu beef short ribs rendang signature ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
385,prawn cake thailand sauce,ikan,538,nasi hitam,menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],prawn cake thailand sauce ikan nasi hitam menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
386,ayam goreng kunyit signature,ayam,525,garlic rice,menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],ayam goreng kunyit signature ayam garlic rice menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
387,chicken egg okonomiyaki supreme,ayam,542,nasi coklat,menu chicken egg okonomiyaki supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],chicken egg okonomiyaki supreme ayam nasi coklat menu chicken egg okonomiyaki supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
388,ayam asam manis healthy deluxe,ayam,532,nasi hitam,menu ayam asam manis healthy deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],ayam asam manis healthy deluxe ayam nasi hitam menu ayam asam manis healthy deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
389,pizza fit chef s choice,lainnya,533,nasi hitam,menu pizza fit chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],pizza fit chef s choice lainnya nasi hitam menu pizza fit chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
390,healthy japanese sushi roll,lainnya,511,nasi merah,menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],healthy japanese sushi roll lainnya nasi merah menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
391,chicken egg okonomiyaki special,ayam,518,garlic rice,menu chicken egg okonomiyaki special ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],chicken egg okonomiyaki special ayam garlic rice menu chicken egg okonomiyaki special ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
392,chicken truffle meatballs yellowfit,ayam,528,red grain rice,menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],chicken truffle meatballs yellowfit ayam red grain rice menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
393,ayam goreng kunyit,ayam,527,nasi kuning,menu ayam goreng kunyit ala yellow fit kitchen rendah kalori dan bergizi,['nasi kuning'],ayam goreng kunyit ayam nasi kuning menu ayam goreng kunyit ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning
394,ayam asam manis healthy chef s choice,ayam,537,garlic rice,menu ayam asam manis healthy chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],ayam asam manis healthy chef s choice ayam garlic rice menu ayam asam manis healthy chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
395,chicken truffle meatballs deluxe,ayam,517,jagung,menu chicken truffle meatballs deluxe ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],chicken truffle meatballs deluxe ayam jagung menu chicken truffle meatballs deluxe ala yellow fit kitchen rendah kalori dan bergizi,jagung
396,hamburg steak saus teriyaki,sapi,537,red grain rice,menu hamburg steak saus teriyaki ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],hamburg steak saus teriyaki sapi red grain rice menu hamburg steak saus teriyaki ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
397,japanese beef teriyaki bread yellowfit,sapi,522,pasta,menu japanese beef teriyaki bread yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],japanese beef teriyaki bread yellowfit sapi pasta menu japanese beef teriyaki bread yellowfit ala yellow fit kitchen rendah kalori dan bergizi,pasta
398,soto betawi ayam,ayam,529,jagung,menu soto betawi ayam ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],soto betawi ayam ayam jagung menu soto betawi ayam ala yellow fit kitchen rendah kalori dan bergizi,jagung
399,chicken soy garlic yangnyeom supreme,ayam,530,nasi coklat,menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],chicken soy garlic yangnyeom supreme ayam nasi coklat menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
400,ayam asam manis healthy signature,ayam,525,garlic rice,menu ayam asam manis healthy signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],ayam asam manis healthy signature ayam garlic rice menu ayam asam manis healthy signature ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
401,indonesian beef bakso,sapi,533,nasi kuning,menu indonesian beef bakso ala yellow fit kitchen rendah kalori dan bergizi,['nasi kuning'],indonesian beef bakso sapi nasi kuning menu indonesian beef bakso ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning
402,thai coconut curry baby corn,lainnya,530,red grain rice,menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],thai coconut curry baby corn lainnya red grain rice menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
403,telur mata sapi balado special,lainnya,520,nasi hitam,menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],telur mata sapi balado special lainnya nasi hitam menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
404,healthy japanese sushi roll,lainnya,527,nasi hitam,menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],healthy japanese sushi roll lainnya nasi hitam menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
405,mac diet panas special special,lainnya,527,nasi merah,menu mac diet panas special special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],mac diet panas special special lainnya nasi merah menu mac diet panas special special ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
406,slow cooked beef deluxe,sapi,525,red grain rice,menu slow cooked beef deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],slow cooked beef deluxe sapi red grain rice menu slow cooked beef deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
407,baked fish mozaru special,ikan,530,pasta,menu baked fish mozaru special ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],baked fish mozaru special ikan pasta menu baked fish mozaru special ala yellow fit kitchen rendah kalori dan bergizi,pasta
408,spaghetti ayam geprek special,ayam,523,red grain rice,menu spaghetti ayam geprek special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],spaghetti ayam geprek special ayam red grain rice menu spaghetti ayam geprek special ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
409,salmon red thai curry chef s choice,ikan,535,nasi hitam,menu salmon red thai curry chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],salmon red thai curry chef s choice ikan nasi hitam menu salmon red thai curry chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
410,baked fish mozaru supreme,ikan,547,nasi hitam,menu baked fish mozaru supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],baked fish mozaru supreme ikan nasi hitam menu baked fish mozaru supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
411,telur mata sapi balado supreme,lainnya,511,nasi merah,menu telur mata sapi balado supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],telur mata sapi balado supreme lainnya nasi merah menu telur mata sapi balado supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
412,japanese beef teriyaki bread supreme,sapi,533,nasi coklat,menu japanese beef teriyaki bread supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],japanese beef teriyaki bread supreme sapi nasi coklat menu japanese beef teriyaki bread supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
413,beef short ribs rendang special,sapi,546,red grain rice,menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],beef short ribs rendang special sapi red grain rice menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
414,khao soi noodle supreme,lainnya,525,garlic rice,menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],khao soi noodle supreme lainnya garlic rice menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
415,udang saus blackpepper chef s choice,ikan,512,nasi hitam,menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],udang saus blackpepper chef s choice ikan nasi hitam menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
416,torikatsu chicken ramen chef s choice,ayam,537,nasi coklat,menu torikatsu chicken ramen chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],torikatsu chicken ramen chef s choice ayam nasi coklat menu torikatsu chicken ramen chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
417,thai coconut curry baby corn,lainnya,546,nasi coklat,menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],thai coconut curry baby corn lainnya nasi coklat menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
418,indonesian beef bakso signature,sapi,533,garlic rice,menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],indonesian beef bakso signature sapi garlic rice menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
419,ayam betutu sambal matah,ayam,532,nasi hitam,menu ayam betutu sambal matah ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],ayam betutu sambal matah ayam nasi hitam menu ayam betutu sambal matah ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
420,ayam asam manis healthy yellowfit,ayam,530,jagung,menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],ayam asam manis healthy yellowfit ayam jagung menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi,jagung
421,pizza fit signature,lainnya,549,garlic rice,menu pizza fit signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],pizza fit signature lainnya garlic rice menu pizza fit signature ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
422,bakwan sayur healthy,lainnya,530,red grain rice,menu bakwan sayur healthy ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],bakwan sayur healthy lainnya red grain rice menu bakwan sayur healthy ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
423,udang saus blackpepper yellowfit,ikan,544,nasi merah,menu udang saus blackpepper yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],udang saus blackpepper yellowfit ikan nasi merah menu udang saus blackpepper yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
424,slow cooked beef signature,sapi,518,nasi merah,menu slow cooked beef signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],slow cooked beef signature sapi nasi merah menu slow cooked beef signature ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
425,chicken egg okonomiyaki deluxe,ayam,543,nasi hitam,menu chicken egg okonomiyaki deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],chicken egg okonomiyaki deluxe ayam nasi hitam menu chicken egg okonomiyaki deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
426,opor susu legenda special,lainnya,511,nasi hitam,menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],opor susu legenda special lainnya nasi hitam menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
427,chicken truffle meatballs yellowfit,ayam,511,nasi kuning,menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi kuning'],chicken truffle meatballs yellowfit ayam nasi kuning menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning
428,ayam goreng kunyit signature,ayam,533,nasi merah,menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],ayam goreng kunyit signature ayam nasi merah menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
429,opor susu legenda chef s choice,lainnya,511,nasi coklat,menu opor susu legenda chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],opor susu legenda chef s choice lainnya nasi coklat menu opor susu legenda chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
430,mac diet panas special signature,lainnya,537,nasi kuning,menu mac diet panas special signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi kuning'],mac diet panas special signature lainnya nasi kuning menu mac diet panas special signature ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning
431,khao soi noodle supreme,lainnya,527,nasi kuning,menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi kuning'],khao soi noodle supreme lainnya nasi kuning menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning
432,ayam asam manis healthy yellowfit,ayam,511,red grain rice,menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],ayam asam manis healthy yellowfit ayam red grain rice menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
433,ayam goreng kunyit chef s choice,ayam,519,nasi merah,menu ayam goreng kunyit chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],ayam goreng kunyit chef s choice ayam nasi merah menu ayam goreng kunyit chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
434,torikatsu chicken ramen special,ayam,544,nasi hitam,menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],torikatsu chicken ramen special ayam nasi hitam menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
435,torikatsu chicken ramen signature,ayam,541,nasi merah,menu torikatsu chicken ramen signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],torikatsu chicken ramen signature ayam nasi merah menu torikatsu chicken ramen signature ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
436,nasi uduk saus kacang supreme,lainnya,518,nasi coklat,menu nasi uduk saus kacang supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi uduk saus kacang supreme lainnya nasi coklat menu nasi uduk saus kacang supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
437,beef short ribs rendang special,sapi,542,nasi kuning,menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,['nasi kuning'],beef short ribs rendang special sapi nasi kuning menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning
438,ayam asam manis healthy,ayam,511,nasi hitam,menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],ayam asam manis healthy ayam nasi hitam menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
439,ayam goreng kunyit deluxe,ayam,525,garlic rice,menu ayam goreng kunyit deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],ayam goreng kunyit deluxe ayam garlic rice menu ayam goreng kunyit deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
440,prawn cake thailand sauce chef s choice,ikan,532,nasi coklat,menu prawn cake thailand sauce chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],prawn cake thailand sauce chef s choice ikan nasi coklat menu prawn cake thailand sauce chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
441,indonesian beef bakso signature,sapi,532,nasi kuning,menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi kuning'],indonesian beef bakso signature sapi nasi kuning menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning
442,prawn cake thailand sauce deluxe,ikan,520,nasi coklat,menu prawn cake thailand sauce deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],prawn cake thailand sauce deluxe ikan nasi coklat menu prawn cake thailand sauce deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
443,pizza fit deluxe,lainnya,542,nasi coklat,menu pizza fit deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],pizza fit deluxe lainnya nasi coklat menu pizza fit deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
444,telur mata sapi balado special,lainnya,520,red grain rice,menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],telur mata sapi balado special lainnya red grain rice menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
445,cheese buldak chicken yellowfit,ayam,532,garlic rice,menu cheese buldak chicken yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],cheese buldak chicken yellowfit ayam garlic rice menu cheese buldak chicken yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
446,thai coconut curry baby corn special,lainnya,457,nasi hitam,menu thai coconut curry baby corn special ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],thai coconut curry baby corn special lainnya nasi hitam menu thai coconut curry baby corn special ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
447,chicken soy garlic yangnyeom supreme,ayam,529,nasi coklat,menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],chicken soy garlic yangnyeom supreme ayam nasi coklat menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
448,opor susu legenda deluxe,lainnya,499,nasi kuning,menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi kuning'],opor susu legenda deluxe lainnya nasi kuning menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning
449,indonesian beef bakso signature,sapi,481,nasi coklat,menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],indonesian beef bakso signature sapi nasi coklat menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
450,ikan sambal kecombrang chef s choice,ikan,518,red grain rice,menu ikan sambal kecombrang chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],ikan sambal kecombrang chef s choice ikan red grain rice menu ikan sambal kecombrang chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
